COHORTE,AGE_PRET_BIN,AGE_MOIS,ER_obs,ER_pred,RA_sum,EAD_sum
2013,60-120,83.0,0.06674037900426918,0.39843044794736593,173.84,2604.72
2013,60-120,84.0,0.025879838299817933,0.3374230998987695,410.94,15878.77
2013,60-120,85.0,0.1560556132267744,0.35199211733057206,5000.0,32039.86
2013,60-120,86.0,0.0671236402027158,0.3491920599261233,3463.8,51603.28
2013,60-120,86.0,0.0,0.35746257880495513,0.0,9553.71
2013,60-120,87.0,0.9457159069415547,0.3408264694202442,2000.0,2114.8
2013,60-120,87.0,0.029919500050473866,0.3374230998987695,637.23,21298.15
2013,60-120,88.0,0.0653549266177875,0.3491920599261233,3193.46,48863.34
2013,60-120,89.0,0.02612553821388033,0.3408264694202442,940.0,35980.12
2013,60-120,89.0,0.04531805125024968,0.34462948183495207,542.24,11965.210000000001
2013,60-120,91.0,0.7692153849230707,0.3374230998987695,5000.0,6500.13
2013,60-120,91.0,0.045793304930006086,0.34462948183495207,470.24,10268.75
2013,60-120,91.0,0.17025688033348613,0.33656373238391507,234.03,1374.57
2013,60-120,92.0,0.03128371346442835,0.33550882614845157,394.08,12596.97
2013,60-120,92.0,0.060162716081915146,0.3408264694202442,1000.0,16621.59
2013,60-120,93.0,0.03471733022570105,0.3374230998987695,637.23,18354.81
2013,60-120,94.0,0.04881155362591038,0.34462948183495207,1175.74,24087.33
2013,60-120,95.0,0.03184379230476556,0.3374230998987695,410.94,12904.87
2013,60-120,95.0,0.028077444761361134,0.3408264694202442,940.0,33478.83
2013,60-120,95.0,0.0,0.34462948183495207,0.0,24275.76
2013,60-120,96.0,0.029009648249902653,0.3408264694202442,107.28,3698.08
2013,60-120,97.0,0.039044640039704544,0.3374230998987695,637.23,16320.55
2013,60-120,97.0,0.02997629640306766,0.3408264694202442,940.0,31358.11
2013,60-120,97.0,0.7652096346451942,0.3483177760588111,7000.0,9147.82
2013,60-120,97.0,0.01027709757900573,0.3408264694202442,35.59,3463.04
2013,60-120,98.0,0.49561971297671187,0.3491920599261233,5000.0,10088.38
2013,60-120,98.0,0.030749220341145016,0.3408264694202442,1089.61,35435.37
2013,60-120,100.0,0.03202231902236428,0.3408264694202442,1089.61,34026.58
2013,60-120,100.0,0.031805184448076854,0.3408264694202442,940.0,29554.93
2013,60-120,101.0,0.0756815883940936,0.33550882614845157,1846.63,24399.99
2013,60-120,101.0,0.032475115079370565,0.3408264694202442,940.0,28945.24
2013,60-120,102.0,0.033426008668717734,0.3408264694202442,1089.61,32597.67
2013,60-120,102.0,0.03438825181690506,0.3408264694202442,428.74,12467.63
2013,60-120,102.0,0.9478643037462756,0.3408264694202442,3000.0,3165.01
2013,60-120,104.0,0.0827440120916583,0.3408264694202442,150.0,1812.82
2013,60-120,105.0,0.052787097094858224,0.3374230998987695,637.23,12071.7
2013,60-120,105.0,0.036754956677253245,0.3408264694202442,107.28,2918.79
2013,60-120,106.0,0.03206439556690493,0.33550882614845157,750.0,23390.43
2013,60-120,106.0,0.03618066053563618,0.3408264694202442,1037.28,28669.46
2013,60-120,107.0,0.10536075522589346,0.3408264694202442,150.0,1423.68
2013,60-120,107.0,0.058084875399588176,0.3374230998987695,637.23,10970.67
2013,60-120,107.0,0.30702774270293987,0.3483177760588111,5709.23,18595.16
2013,60-120,108.0,0.2882418660764731,0.3408264694202442,2035.59,7062.09
2013,60-120,109.0,0.06466917469496199,0.3374230998987695,637.23,9853.69
2013,60-120,109.0,0.03714081075245971,0.34462948183495207,541.89,14590.15
2013,60-120,110.0,0.04348284275975,0.3408264694202442,107.28,2467.18
