Age,Hazard_brut,Nb_RA,Nb_at_risk,SE,Hazard_lisse,Survie,ER_cumule,SMM,CPR,SMM_PSA,CPR_PSA,Survie_PSA,ER_PSA
45,0.9801526717557252,642,655,0.005449758283853119,0.9847699779732522,5.333175007774318e-91,1.0,0.9847699779732522,1.0,0.005143012831822946,0.06,0.8551571970877501,0.14484280291224993
46,0.9825479930191972,563,573,0.005470440068496338,0.9838749451606554,8.599773946818276e-93,1.0,0.9838749451606554,1.0,0.005143012831822946,0.06,0.850759112649902,0.149240887350098
47,0.9797047970479705,531,542,0.006056820084599305,0.9828849564972857,1.4718550521330396e-94,1.0,0.9828849564972857,1.0,0.005143012831822946,0.06,0.8463836476167532,0.15361635238324678
48,0.9766454352441614,460,471,0.006958952910245536,0.9817958678854517,2.679384382249523e-96,1.0,0.9817958678854517,1.0,0.005143012831822946,0.06,0.8420306856564151,0.15796931434358485
49,0.9766355140186916,418,428,0.007301674813659785,0.9806035352274618,5.19705847823919e-98,1.0,0.9806035352274618,1.0,0.005143012831822946,0.06,0.8377001110352955,0.1622998889647045
50,0.9809523809523809,412,420,0.006669905271019306,0.9793038144256248,1.075592867065185e-99,1.0,0.9793038144256248,1.0,0.005143012831822946,0.06,0.8333918086150215,0.1666081913849785
51,0.9903147699757869,409,413,0.004819107033413379,0.9778925613822489,2.3778603286334504e-101,1.0,0.9778925613822489,1.0,0.005143012831822946,0.06,0.8291056638493783,0.17089433615062166
52,0.9805013927576601,352,359,0.007297576878329006,0.9763656319996434,5.619922606037176e-103,1.0,0.9763656319996434,1.0,0.005143012831822946,0.06,0.8248415627812639,0.17515843721873614
53,0.9911764705882353,337,340,0.00507174257687933,0.9747188821801163,1.420779255418539e-104,1.0,0.9747188821801163,1.0,0.005143012831822946,0.06,0.8205993920396589,0.17940060796034107
54,0.976878612716763,338,346,0.00807958762707065,0.9729481678259768,3.8434681973915934e-106,1.0,0.9729481678259768,1.0,0.005143012831822946,0.06,0.8163790388366129,0.1836209611633871
55,0.976271186440678,288,295,0.008861601983646786,0.9710493448395326,1.1127092240290709e-107,1.0,0.9710493448395326,1.0,0.005143012831822946,0.06,0.8121803909642449,0.18781960903575512
56,0.9810126582278481,310,316,0.007677606477087985,0.9690182691230932,3.4473657723120483e-109,1.0,0.9690182691230932,1.0,0.005143012831822946,0.06,0.8080033367917608,0.19199666320823916
57,0.9798657718120806,292,298,0.00813659416306872,0.9668507965789667,1.1427742925307978e-110,1.0,0.9668507965789667,1.0,0.005143012831822946,0.06,0.803847765262485,0.19615223473751497
58,0.9779735682819384,222,227,0.009741429764129936,0.964542783109462,4.051959594719567e-112,1.0,0.964542783109462,1.0,0.005143012831822946,0.06,0.7997135658909079,0.20028643410909208
59,0.9144144144144144,203,222,0.01877566629203131,0.9620900846168874,1.5360944537161006e-113,1.0,0.9620900846168874,1.0,0.005143012831822946,0.06,0.7956006287597481,0.20439937124025187
60,0.9552238805970149,192,201,0.014587396341051374,0.9594885570035517,6.222940289888015e-115,1.0,0.9594885570035517,1.0,0.005143012831822946,0.06,0.7915088445170303,0.2084911554829697
