ID;AGE_CLI;B_MAT;B_RESMAT;CLASSACT;CSP;DARRET;E_OFF;MREVTOT;MTECH;NBIMP;NB_ECH;produit;RA;Tx;EAD;AGE_PRET;HORIZON_RES;CSP_grp;CRD;ER_obs;FLAG_ER;Capital_initial;Date_origination;Cohorte
a000209;28.0;48.0;24.0;1;54.0;2019-01-01;0.0;1680.0;29.13;0;35;AMO;400.0;2.729988699185445;438.52;24.0;24;SALARIE;699.12;0.5721478430026319;1;1398.24;2017-01-11;2017Q1
a000210;45.0;60.0;2.0;1;55.0;2019-01-01;0.0;1028.0;40.2;0;12;AMO;1786.44;2.3824105905492;58.46;58.0;2;SALARIE;80.4;1.0;1;2412.0;2014-03-28;2014Q1
a000211;29.0;61.0;50.0;1;60.0;2019-01-01;0.0;1385.0;83.56;1;60;AMO;186.0;2.3824105905492;3459.73;11.0;50;INACTIF;4178.0;0.04451890856869316;1;5097.16;2018-02-05;2018Q1
a000212;66.0;61.0;50.0;1;70.0;2019-01-01;0.0;2300.0;88.35;0;60;AMO;3464.07;2.3824105905492;0.0;11.0;50;SALARIE;4417.5;0.784169779286927;1;5389.349999999999;2018-02-05;2018Q1
a000213;59.0;60.0;50.0;1;82.0;2019-01-01;0.0;773.0;84.81;0;60;AMO;3495.16;2.2593654994071057;0.0;10.0;50;INDEPENDANT;4240.5;0.8242329913925245;1;5088.6;2018-03-07;2018Q1
a000214;69.0;60.0;54.0;1;70.0;2019-01-01;0.0;2346.0;205.81;0;60;AMO;8490.17;2.221810338571522;0.0;6.0;54;SALARIE;11113.74;0.7639345530847401;1;12348.6;2018-07-05;2018Q3
a000215;48.0;48.0;41.0;1;52.0;2019-01-01;0.0;1616.0;93.48;0;48;AMO;3718.0;2.2593654994071057;0.0;7.0;41;SALARIE;3832.6800000000003;0.9700783785758268;1;4487.04;2018-06-05;2018Q2
a000216;56.0;48.0;42.0;1;52.0;2019-01-01;0.0;2200.0;60.6;0;48;AMO;2334.19;2.3824105905492;0.0;6.0;42;SALARIE;2545.2000000000003;0.917094923778092;1;2908.8;2018-07-05;2018Q3
a000217;64.0;48.0;42.0;1;70.0;2019-01-01;0.0;1605.0;126.59;0;48;AMO;4466.89;2.2593654994071057;0.0;6.0;42;SALARIE;5316.78;0.8401494889764106;1;6076.32;2018-07-05;2018Q3
a000218;46.0;60.0;55.0;1;56.0;2019-01-01;0.0;1562.0;143.44;0;60;AMO;6586.83;2.221810338571522;0.0;5.0;55;SALARIE;7889.2;0.8349173553719008;1;8606.4;2018-08-04;2018Q3
